"Variable","Noise","switch_rate","beta_S","beta_P","mean","error"
"Error",0,0.05,2,2,0.2159,0.00411465819251176
"Error",0,0.05,2,2.5,0.2412,0.00427832752470412
"Error",0,0.05,2,3,0.2632,0.00440392046380781
"Error",0,0.05,2,3.5,0.2958,0.0045642435552809
"Error",0,0.05,2,4,0.3566,0.00479019191618242
"Error",0,0.05,2,4.5,0.3645,0.0048131373997802
"Error",0,0.05,2,5,0.4073,0.0049135613671278
"Error",0,0.05,2,5.5,0.462,0.00498578838385474
"Error",0,0.05,2,6,0.4803,0.00499636741730799
"Error",0,0.05,2,6.5,0.4823,0.00499711597992399
"Error",0,0.05,2,7,0.4919,0.00499959384288958
"Error",0,0.05,2,7.5,0.457,0.00498172477744163
"Error",0,0.05,2,8,0.493,0.00499975997023617
"Error",0,0.05,2,8.5,0.475,0.0049939957948921
"Error",0,0.05,2,9,0.5051,0.0049999898989797
"Error",0,0.05,2,9.5,0.518,0.00499700880624609
"Error",0,0.05,2,10,0.516,0.00499768923501342
"Error",0,0.05,2.5,1,0.1794,0.00383706089391742
"Error",0,0.05,2.5,1.5,0.1625,0.0036892731091107
"Error",0,0.05,2.5,2,0.1556,0.00362493834675871
"Error",0,0.05,2.5,2.5,0.1834,0.0038701345963906
"Error",0,0.05,2.5,3,0.2278,0.00419433847555544
"Error",0,0.05,2.5,3.5,0.2413,0.00427893233484623
"Error",0,0.05,2.5,4,0.3224,0.00467418536227224
"Error",0,0.05,2.5,4.5,0.3693,0.0048263941413897
"Error",0,0.05,2.5,5,0.4133,0.00492450363728238
"Error",0,0.05,2.5,5.5,0.4321,0.00495392906098928
"Error",0,0.05,2.5,6,0.4638,0.0049871277449364
"Error",0,0.05,2.5,6.5,0.4552,0.00498013816852683
"Error",0,0.05,2.5,7,0.4379,0.00496153410570443
"Error",0,0.05,2.5,7.5,0.448,0.00497313514870858
"Error",0,0.05,2.5,8,0.547,0.00497810989812557
"Error",0,0.05,2.5,8.5,0.4767,0.00499481789663868
"Error",0,0.05,2.5,9,0.5208,0.0049959215289266
"Error",0,0.05,2.5,9.5,0.5179,0.00499704473119909
"Error",0,0.05,2.5,10,0.4949,0.0049999898989797
"Error",0,0.05,3,1,0.162,0.00368469234750604
"Error",0,0.05,3,1.5,0.1372,0.00344075571350074
"Error",0,0.05,3,2,0.1309,0.00337307823296119
"Error",0,0.05,3,2.5,0.1514,0.00358456258264393
"Error",0,0.05,3,3,0.1729,0.00378179708589976
"Error",0,0.05,3,3.5,0.2236,0.00416677815632419
"Error",0,0.05,3,4,0.2664,0.00442097936048684
"Error",0,0.05,3,4.5,0.332,0.00470954541137445
"Error",0,0.05,3,5,0.3519,0.00477586849609463
"Error",0,0.05,3,5.5,0.405,0.00490916591601864
"Error",0,0.05,3,6,0.4232,0.00494091259401805
"Error",0,0.05,3,6.5,0.4478,0.00497292559756326
"Error",0,0.05,3,7,0.4749,0.00499394562938914
"Error",0,0.05,3,7.5,0.4534,0.00497848596786746
"Error",0,0.05,3,8,0.4857,0.00499820459814527
"Error",0,0.05,3,8.5,0.5173,0.0049972560727689
"Error",0,0.05,3,9,0.5083,0.00499956103683675
"Error",0,0.05,3,9.5,0.4854,0.00499811785757517
"Error",0,0.05,3,10,0.5227,0.00499509420297652
"Error",0,0.05,3.5,1,0.1258,0.00331640405463287
"Error",0,0.05,3.5,1.5,0.124,0.0032959803319551
"Error",0,0.05,3.5,2,0.1226,0.00327993899333204
"Error",0,0.05,3.5,2.5,0.1191,0.00323922340335237
"Error",0,0.05,3.5,3,0.1467,0.003538242913692
"Error",0,0.05,3.5,3.5,0.1662,0.00372278684780521
